Laboratory_number;Radiocarbon age (years BP);Error;delta_C13;delta_N15;C:N;%C;%collagen;Calculation details;Laboratory treatment;Calibration used;Dated material;Context;Site;Country;Source;Group;Subgroup;Notes
MAMS-45796;4105;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 109/82;Trmice;Czech Republic;"Papac et al. 2021; Buchvaldek et al. 1987; Chochol 1987 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-45789;4130;24;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 26/94;Konobr�e;Czech Republic;"Papac et al. 2021; ?ech and ?ern� 1997 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-45792;4177;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 29/87;Stadice;Czech Republic;"Papac et al. 2021; Cvrkov� et al. 1991; Pavelkov� 1991 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-45793;4314;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 67/87;Stadice;Czech Republic;"Papac et al. 2021; Cvrkov� et al. 1991; Pavelkov� 1991 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-45794;4093;24;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 10/87;Trmice;Czech Republic;"Papac et al. 2021; Cvrkov� et al. 1991; Pavelkov� 1991 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-45787;4147;24;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 10A/91;Konobr�e;Czech Republic;"Papac et al. 2021; Dobe� and Buchvaldek 1993 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-45788;3947;24;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 31/91;Konobr�e;Czech Republic;"Papac et al. 2021; Dobe� and Buchvaldek 1993 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-38472;4027;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 1423;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
CRL-9192;4226;95;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 2898-2;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
CRL-9198;4247;80;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 4757;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-38473;3913;26;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 4871;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-38474;3902;28;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 5379;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
CRL-9200;4256;82;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 5432;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-46362;3918;21;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 5790;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-30760;3941;21;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 6094;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
CRL-9203;4241;84;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 7473;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-30758;4196;21;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 774;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-45798;4171;26;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 865;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-30759;4212;21;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 890;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
R-combine;4166;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 9566A;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
CRL-9182;4261;118;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 957;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
R-combine;4067;24;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 965;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-30761;3966;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 9730;Vlin?ves;Czech Republic;"Papac et al. 2021; Dobe� and Limbursk� 2013 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-45791;4081;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 41/83;Radovesice XVI;Czech Republic;"Papac et al. 2021; Dobe� et al. 1991 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-41377;3917;26;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 12;?achovice;Czech Republic;"Papac et al. 2021; Neustupn� and Smr� 1989 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-41378;3853;27;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 47;?achovice;Czech Republic;"Papac et al. 2021; Neustupn� and Smr� 1989 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-38481;4055;29;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 3013;Kol�n I-7b;Czech Republic;"Papac et al. 2021; preliminary reports in: �umberov� et al. 2010; �umberov� 2012 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
R-combine;4250;20;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave LX;Ploti�t? nad Labem;Czech Republic;"Papac et al. 2021; Vokolek 1981; Chochol 1981; Burgert et al. 2016 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
Poz-86648;4110;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 221B;Ploti�t? nad Labem;Czech Republic;"Papac et al. 2021; Z�potock� 1998; Burgert 2019 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-30751;3896;22;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 800;"Brno � Horn� Her�pice ""Na �irok�""";Czech Republic;"Pe�ka and Fikrle 2017; Kola?�k et al. 2011, 177-178; Pe�ka 2023, 121 fig. 2 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
BETA-487621;4100;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (artefact, Animal, anatomy indet.);grave 4;Dr�ovice-Pastviska;Czech Republic;"Pe�ka and Fojt�k 2018; Fojt�k 2015, 186-187; Pe�ka 2023, 121 fig. 2 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
Poz-98508;3850;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 6;Dr�ovice-Pastviska;Czech Republic;"Pe�ka and Fojt�k 2018; Pe�ka 2023, 121 fig. 2 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
DeA-16085;3919;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 1;Dr�ovice-Pastviska;Czech Republic;"Pe�ka and Fojt�k 2018; Pe�ka 2023, 121 fig. 2; Fojt�k 2015, 186-187; Juras et al. 2018 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
DeA-16086;4067;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 2;Dr�ovice-Pastviska;Czech Republic;"Pe�ka and Fojt�k 2018; Pe�ka 2023, 121 fig. 2; Fojt�k 2015, 186-187; Juras et al. 2018 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
Poz-14924;3720;40;Not reported;Not reported;Not reported;3,5;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 2;Brodek u Prost?jova;Czech Republic;Pe�ka 2010 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;Initial run: outlier, type t. Increased outlier chance
Poz-14919;3890;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 5;Olomouc-?ep?�n 1;Czech Republic;Pe�ka 2010 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
Erl-4680;3643;49;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 163;Olomouc-Slavon�n 1;Czech Republic;Pe�ka 2010 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;Initial run: Outlier 18%, t. Increased outlier chance
KIA-34708;3900;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 67b;Olomouc-Slavon�n 1;Czech Republic;Pe�ka 2010 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
Erl-4726;3938;59;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (artefact, Animal, anatomy indet.);grave 5;Pavlov, Horn� pole;Czech Republic;"Pe�ka 2010; Rakovsk� and �ebela 1991 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
Erl-4727;3528;56;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (artefact, Animal, anatomy indet.);grave 780;Pavlov, Horn� pole;Czech Republic;"Pe�ka 2010; Rakovsk� and �ebela 1991 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;Initial run: Outlier 36%, t. Increased outlier chance
KIA-34693;4075;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 1;Olomouc-Nemilany 1;Czech Republic;Pe�ka 2017 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
DeA-36656;3979;22;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (artefact, Animal, anatomy indet.);grave 1;Seloutky-Dlouh� ?tvrt?;Czech Republic;"Pe�ka 2023, 121 fig. 2; Fojt�k 2011, 183 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
DeA-35010;4035;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 2;Bystro?ice � U Topol�nky;Czech Republic;"Pe�ka 2023, 121 fig. 2; pers. comm. J. Pe�ka in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34732;3910;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 19;Hul�n-Prav?ice 1;Czech Republic;"Pe�ka 2023, 121 fig. 2; pers. comm. J. Pe�ka in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34733;3955;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 20;Hul�n-Prav?ice 1;Czech Republic;"Pe�ka 2023, 121 fig. 2; pers. comm. J. Pe�ka in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-48835;4003;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 92;St?�brnice 1 - Lopaty;Czech Republic;"Pe�ka 2023, 121 fig. 2; pers. comm. J. Pe�ka in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34711;4090;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (artefact, Animal, tooth);grave 72;Olomouc-Slavon�n 1;Czech Republic;"Pe�ka 2023, 121 fig. 2; Pe�ka 2004 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34709;4035;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (artefact, Animal, anatomy tooth);grave 68;Olomouc-Slavon�n 1;Czech Republic;"Pe�ka 2023, 121 fig. 2; Pe�ka 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34695;3965;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 50;Olomouc-Nemilany 1;Czech Republic;"Pe�ka 2023, 121 fig. 2; Pe�ka 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34696;4055;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 55;Olomouc-Nemilany 1;Czech Republic;"Pe�ka 2023, 121 fig. 2; Pe�ka 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34701;4050;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 21;Olomouc-Nemilany 3;Czech Republic;"Pe�ka 2023, 121 fig. 2; Pe�ka 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34705;4000;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 2;Olomouc-Slavon�n 1;Czech Republic;"Pe�ka 2023, 121 fig. 2; Pe�ka 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34700;3965;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 18;Olomouc-Nemilany 3;Czech Republic;"Pe�ka 2023, 121 fig. 2; Pe�ka 2017, 33 fig 12. in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34702;4025;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 28;Olomouc-Nemilany 3;Czech Republic;"Pe�ka 2023, 121 fig. 2; Pe�ka 2017, 33 fig 12. in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34706;4235;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 19;Olomouc-Slavon�n 1;Czech Republic;"Pe�ka 2023, 121 fig. 2; Pe�ka 2017, 33 fig 12. in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34703;4000;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 31;Olomouc-Nemilany 3;Czech Republic;"Pe�ka 2023, 121 fig. 2; Pe�ka 2017, 39 fig. 14 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34704;4045;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 36;Olomouc-Nemilany 3;Czech Republic;"Pe�ka 2023, 121 fig. 2; Pe�ka 2017; Pe�ka 2021, 518 fig. 5,4  in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
CRL-17484;3981;22;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 9;Prague-Ruzyn?;Czech Republic;Petri�?�kov� and �mol�kov� 2018 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
KIA-38725;4095;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave feature 11;Unterwellenborn-R�blitz;Germany;Petzold et al. 2009 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
KIA-38724;4100;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave feature 9;Unterwellenborn-R�blitz;Germany;Petzold et al. 2009 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
MAMS-14075;3878;24;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 499;Gatersleben;Germany;Pscheidl 2018 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
KIA-32304;4135;28;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 6;Nohra;Germany;"Schwarz 2015; Schmidt-Thielbeer 1955 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
Erl-10966;4239;59;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 3682;Ilberstedt (PA 13, Fst. 16);Germany;Schwerdtfeger and Raczkowska-Jones 2019 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
