"Order","Start_CW","Poz-74635","Poz-75446","R-combine","Ki-6881","Poz-16596","R-combine","Poz-33427","OxA-26755","Poz-85608","Poz-36250","Poz-77329","Gd-1684","Poz-20655","Ki-6242","R-combine","Poz-89314","Ki-5717","OxA-X-2417-15","Poz-25936","GrN-20926","End_CW","Start_GAC","Koszyce 3","Kuczkowo 1","Malice 1, Ind. A","Malice 1, Ind. B","Malice 1, Ind. C","Malice 1, Ind. D","Opatowice 1/38","Opatowice 36/101A","Opatowice 36/123","Sandomierz 78","Ki-6914","Ki-6909","Ki-7831","Ki-7830","Poz-61739","Ki-7829","OxA-23438","Poz-90800","Poz-90802","Poz-90804","Poz-90806","Poz-90807","MAMS-30072","MAMS-30073","MAMS-30074","Poz-61735","Poz-21911","Poz-21912","Ki-5841","GrN-14022","Ki-6508","Ki-6509","Poz-61732","Ki-5434","Poz-58148","Poz-44433","Poz-44431","Poz-44430","Poz-44432","Poz-44485","Poz-94493","Poz-94503","Poz-90808","Poz-90809","Poz-90810","Gd-4117","Ki-5595","Gd-6438","Poz-61733","Ki-6513","Poz-61734","Poz-58109","Poz-102997","Poz-102996","Poz-111913","Poz-130232","Poz-111914","OxA-23437","Poz-90821","GrN-20927","Poz-90785","Poz-61738","Ki-5910","Ki-5952","Ki-5433","Poz-58111","Ki-6221","End_GAC",
"Poz-36250",0.19542,0.9809,0.996,0.9999,0.9999,1,0.449,0.5863,0.8289,0.9997,0,0.9987,0.9998,1,0.9989,0.5293,0.9925,1,0.3939,0.8258,0.9977,1,0.000027,0.05597,0.004287,0.5333,0.14428,0.4802,0.5716,0.9998,0.9997,0.1903,0.18806,0.011858,0.004242,0.6802,0.7141,0.9901,0.8975,0.418,0.5707,0.6214,0.4282,0.25586,0.30633,0.11891,0.21967,0.10265,0.13194,0.026639,0.5569,0.4882,0.001983,0.9921,0.9949,0.29218,0.9896,0.539,0.004639,0.003425,0.000793,0.002277,0.5816,0.4288,0.9142,0.4163,0.30548,0.4873,0.3291,0.972,0.7091,0.14896,0.5491,0.914,0.00048,0.7252,0.4665,0.9905,0.6946,0.28012,0.5146,0.3595,0.9968,0.26602,0.8926,0.001697,0.3858,0.32,0.3189,0.7987,0.9949,
"Poz-77329",0.000201,0.15284,0.19484,0.8128,0.8401,0.9246,0.000945,0.004281,0.025334,0.9892,0.001307,0,0.8795,0.9724,0.584,0.001658,0.18881,0.9833,0.000856,0.0446,0.4259,0.995,0,0,0.000001,0.002743,0.000328,0.001694,0.003289,0.6509,0.6399,0.00033,0.0005,0.00001,0.00009,0.07884,0.09614,0.17739,0.25046,0.000655,0.011013,0.017585,0.003889,0.000179,0.000304,0.000007,0.000149,0.000001,0.000028,0.000022,0.006569,0.001795,0.000015,0.1868,0.5477,0.000221,0.16115,0.003678,0.000006,0.000014,0,0.000005,0.008819,0.001456,0.09985,0.00166,0.000419,0.004275,0.007907,0.2962,0.10514,0.000017,0.009028,0.10016,0,0.030527,0.002102,0.17872,0.024443,0.000153,0.002114,0.000776,0.3427,0.000224,0.08841,0,0.001079,0.000342,0.000311,0.09111,0.3509,
"Gd-1684",0.000022,0.004229,0.006309,0.3255,0.4098,0.5838,0.000148,0.00032,0.000994,0.8248,0.000202,0.12049,0,0.8017,0.16646,0.000444,0.007775,0.8019,0.000179,0.001371,0.09401,0.9035,0,0.000002,0,0.000294,0.000043,0.000245,0.000295,0.14822,0.14082,0.000038,0.000111,0,0.000013,0.006697,0.009292,0.005555,0.03824,0.000141,0.000423,0.000651,0.0002,0.000066,0.000086,0.00001,0.000018,0.000024,0.000023,0.000019,0.000342,0.000214,0.000024,0.006665,0.10551,0.000057,0.003559,0.000301,0.000002,0,0,0,0.000433,0.000198,0.00225,0.00017,0.00011,0.000232,0.000383,0.0413,0.011828,0.000017,0.000376,0.002225,0,0.000803,0.000171,0.005499,0.000696,0.000052,0.000231,0.000095,0.0385,0.000066,0.001948,0,0.000126,0.0001,0.000068,0.004408,0.04777,
"Poz-20655",0,0.000499,0.000883,0.092,0.14261,0.24219,0.000002,0.000008,0.000109,0.4547,0.000008,0.027561,0.19828,0,0.0412,0.000068,0.001274,0.4372,0.000013,0.000116,0.022155,0.6407,0,0,0,0.000002,0.000004,0.000002,0.000009,0.02853,0.026445,0,0.000004,0,0.000002,0.001205,0.001611,0.000647,0.007185,0.000001,0.00002,0.000029,0.000003,0,0.000001,0,0,0,0,0,0.000006,0.000001,0,0.000813,0.019338,0,0.000285,0.000004,0,0,0,0,0.000014,0.000001,0.000164,0.000003,0.000001,0.000011,0.000047,0.007531,0.002158,0,0.000022,0.000179,0,0.000054,0,0.000664,0.000034,0,0.000006,0.000001,0.006583,0,0.000154,0,0.000001,0.000003,0,0.000634,0.007285,
"Ki-6242",0.000178,0.10726,0.13765,0.7398,0.7801,0.892,0.00094,0.003446,0.018232,0.9826,0.001145,0.416,0.8335,0.9588,0,0.001584,0.13441,0.9744,0.000838,0.03174,0.3498,0.9911,0,0.000035,0,0.002443,0.00035,0.001574,0.002787,0.5396,0.5284,0.000341,0.000419,0.000026,0.000091,0.05859,0.07203,0.12534,0.196,0.000723,0.008378,0.012653,0.002919,0.000248,0.000333,0.000064,0.000192,0.000066,0.000065,0.000023,0.00502,0.001674,0.000022,0.13253,0.4426,0.000263,0.11344,0.002929,0.000004,0.000007,0,0.000006,0.006851,0.001228,0.07051,0.001389,0.000448,0.003382,0.005642,0.22882,0.07992,0.000065,0.006615,0.0702,0,0.022156,0.001868,0.12595,0.017636,0.000278,0.001889,0.000765,0.25873,0.000293,0.06244,0.000016,0.000949,0.000445,0.00035,0.06549,0.27157,
"R-combine",0.18102,0.9795,0.9957,0.9996,0.9996,0.9998,0.4183,0.5594,0.8167,0.9997,0.4707,0.9983,0.9996,0.9999,0.9984,0,0.992,0.9999,0.3646,0.8135,0.9973,1,0.000014,0.05133,0.004102,0.5139,0.13211,0.4605,0.5546,0.9993,0.9993,0.17541,0.17098,0.01086,0.004049,0.6691,0.7035,0.9891,0.8931,0.3965,0.5551,0.6069,0.4085,0.2373,0.28531,0.10845,0.20021,0.09502,0.12041,0.024652,0.5392,0.4686,0.001778,0.9917,0.9945,0.27103,0.9888,0.5205,0.004068,0.003139,0.000734,0.001926,0.5646,0.4075,0.9099,0.3954,0.28517,0.4677,0.315,0.9704,0.6982,0.13599,0.5313,0.9099,0.000372,0.7143,0.4463,0.9898,0.6821,0.25953,0.4959,0.3383,0.9962,0.24666,0.8876,0.001539,0.3646,0.29758,0.29766,0.7915,0.9942,
"Poz-89314",0.001661,0.4253,0.5218,0.992,0.9895,0.9966,0.00462,0.018185,0.08714,0.9983,0.007536,0.8112,0.9922,0.9987,0.8656,0.008014,0,0.9986,0.003886,0.1374,0.7397,0.9999,0,0.000486,0.000049,0.01488,0.001606,0.009712,0.018223,0.9731,0.9682,0.001998,0.002176,0.000106,0.000229,0.19231,0.22501,0.4768,0.4888,0.005582,0.0407,0.05987,0.015692,0.002074,0.003196,0.000818,0.001546,0.000787,0.000907,0.000215,0.027529,0.01171,0.000125,0.4932,0.8876,0.002535,0.4489,0.018177,0.000068,0.000145,0.000015,0.000008,0.03428,0.008611,0.28896,0.009259,0.003451,0.018744,0.024796,0.5917,0.2364,0.001051,0.03361,0.29034,0.000001,0.10026,0.012103,0.478,0.08195,0.00216,0.013344,0.00531,0.6965,0.002191,0.25907,0.000024,0.006844,0.003093,0.003117,0.24462,0.6737,
"Ki-5717",0.000002,0.000927,0.00123,0.0634,0.12759,0.24719,0.000034,0.000098,0.000344,0.5234,0.000029,0.016693,0.19811,0.5628,0.025645,0.000115,0.001393,0,0.000035,0.000383,0.013779,0.7074,0,0,0,0.000095,0.000014,0.000075,0.00012,0.019072,0.017506,0.000007,0.000003,0,0.000005,0.000978,0.001323,0.0011,0.00509,0.000052,0.00014,0.000179,0.00008,0.000009,0.000027,0,0,0,0.000001,0,0.00013,0.000072,0.000002,0.001201,0.012878,0.000003,0.000767,0.000077,0,0.000001,0,0,0.000169,0.00005,0.000557,0.000046,0.000029,0.00008,0.000097,0.005412,0.001653,0.000002,0.000117,0.000551,0,0.000296,0.000083,0.001054,0.000234,0.000016,0.000102,0.000026,0.004806,0.000005,0.000546,0,0.000059,0.000017,0.000041,0.000734,0.005644,
"OxA-X-2417-15",0.257,0.989,0.998,0.9999,0.9999,1,0.5607,0.6819,0.884,0.9998,0.6061,0.9991,0.9998,1,0.9992,0.6354,0.9961,1,0,0.878,0.9986,1,0.000034,0.0729,0.005351,0.6037,0.18714,0.5566,0.6375,0.9997,0.9997,0.2466,0.24471,0.015625,0.005292,0.7248,0.7548,0.9933,0.9143,0.4979,0.6352,0.6797,0.501,0.3223,0.381,0.15505,0.28617,0.13482,0.17124,0.03443,0.6243,0.5617,0.002289,0.9948,0.9956,0.3667,0.9934,0.6087,0.005828,0.004079,0.000899,0.002891,0.6454,0.5053,0.9327,0.4913,0.3803,0.5599,0.3847,0.9775,0.7494,0.19358,0.6147,0.9328,0.00061,0.7723,0.5412,0.9939,0.7454,0.3537,0.5877,0.4359,0.9976,0.3371,0.9154,0.002252,0.4627,0.3967,0.3959,0.8317,0.9983,
"Poz-25936",0.05614,0.8149,0.8777,0.9993,0.9985,0.9996,0.14262,0.23579,0.4677,0.9992,0.17419,0.9554,0.9986,0.9999,0.9683,0.18655,0.8626,0.9996,0.12203,0,0.9355,1,0.000003,0.023132,0.001458,0.22891,0.04922,0.19068,0.25782,0.9958,0.9947,0.06337,0.06361,0.004071,0.001649,0.4539,0.4935,0.8539,0.7517,0.15317,0.28029,0.3287,0.17662,0.08443,0.10401,0.04104,0.07103,0.03605,0.04348,0.009313,0.25927,0.19978,0.000897,0.8628,0.9703,0.0964,0.8448,0.23871,0.001759,0.001341,0.000239,0.00076,0.28005,0.16475,0.6895,0.16188,0.10405,0.2097,0.14788,0.8612,0.4957,0.04905,0.26012,0.6908,0.000191,0.4282,0.19031,0.8551,0.394,0.09218,0.21708,0.12893,0.9254,0.08724,0.6553,0.000632,0.14323,0.10753,0.10736,0.572,0.9032,
