"Order","Start_CW","Poz-74635","Poz-75446","R-combine","Ki-6881","Poz-16596","R-combine","Poz-33427","OxA-26755","Poz-85608","Poz-36250","Poz-77329","Gd-1684","Poz-20655","Ki-6242","R-combine","Poz-89314","Ki-5717","OxA-X-2417-15","Poz-25936","GrN-20926","End_CW","Start_GAC","Koszyce 3","Kuczkowo 1","Malice 1, Ind. A","Malice 1, Ind. B","Malice 1, Ind. C","Malice 1, Ind. D","Opatowice 1/38","Opatowice 36/101A","Opatowice 36/123","Sandomierz 78","Ki-6914","Ki-6909","Ki-7831","Ki-7830","Poz-61739","Ki-7829","OxA-23438","Poz-90800","Poz-90802","Poz-90804","Poz-90806","Poz-90807","MAMS-30072","MAMS-30073","MAMS-30074","Poz-61735","Poz-21911","Poz-21912","Ki-5841","GrN-14022","Ki-6508","Ki-6509","Poz-61732","Ki-5434","Poz-58148","Poz-44433","Poz-44431","Poz-44430","Poz-44432","Poz-44485","Poz-94493","Poz-94503","Poz-90808","Poz-90809","Poz-90810","Gd-4117","Ki-5595","Gd-6438","Poz-61733","Ki-6513","Poz-61734","Poz-58109","Poz-102997","Poz-102996","Poz-111913","Poz-130232","Poz-111914","OxA-23437","Poz-90821","GrN-20927","Poz-90785","Poz-61738","Ki-5910","Ki-5952","Ki-5433","Poz-58111","Ki-6221","End_GAC",
"Ki-5841",0.31454,0.9725,0.9934,1,0.9999,1,0.4733,0.58,0.7969,0.9998,0.5118,0.9982,0.9998,1,0.9983,0.5314,0.9883,0.9999,0.4383,0.8002,0.9966,1,0.000065,0.10941,0.005496,0.5383,0.20452,0.4928,0.5715,0.9999,0.9998,0.25114,0.25927,0.017499,0.005966,0.6881,0.7195,0.9866,0.8965,0.4411,0.5771,0.622,0.4537,0.3083,0.3519,0.17908,0.28845,0.15766,0.17969,0.03671,0.5625,0,0.002652,0.9893,0.995,0.3415,0.9856,0.5442,0.007004,0.00417,0.001278,0.003726,0.5836,0.4511,0.9039,0.4411,0.3518,0.5028,0.3559,0.969,0.7159,0.20063,0.557,0.9044,0.001116,0.7176,0.4833,0.9868,0.6887,0.3313,0.5225,0.3949,0.9957,0.3204,0.8824,0.002537,0.4166,0.3634,0.3627,0.7983,0.9931,
"GrN-14022",0.9614,0.9998,0.9999,1,1,1,0.998,0.9984,0.9992,1,0.998,1,1,1,1,0.9982,0.9999,1,0.9977,0.9991,0.9999,1,0.12851,0.9929,0.2652,0.9979,0.9916,0.9978,0.9981,1,1,0.9932,0.9955,0.6452,0.4545,0.9976,0.9979,0.9998,0.9992,0.9972,0.9978,0.9979,0.9967,0.9935,0.9956,0.9902,0.9954,0.9882,0.9786,0.6783,0.9975,0.9973,0,0.9999,0.9995,0.9958,0.9998,0.9974,0.6227,0.24159,0.3195,0.5545,0.9977,0.997,0.9993,0.9969,0.9957,0.9972,0.9195,0.9996,0.9977,0.9834,0.9975,0.9995,0.4639,0.9984,0.997,0.9999,0.9982,0.9956,0.9972,0.9966,0.9999,0.9952,0.9992,0.4078,0.9967,0.996,0.9962,0.9987,0.9999,
"Ki-6508",0.003356,0.4298,0.5275,0.9939,0.991,0.9974,0.005597,0.017852,0.08357,0.9985,0.007914,0.8132,0.9933,0.9992,0.8675,0.008302,0.5068,0.9988,0.005154,0.13723,0.7419,0.9999,0.000001,0.000957,0.000155,0.013666,0.002367,0.009233,0.015964,0.9768,0.9718,0.002729,0.003039,0.000174,0.000185,0.19162,0.22507,0.4831,0.4904,0.005715,0.03851,0.0575,0.015428,0.002921,0.00376,0.001467,0.002432,0.001349,0.001501,0.000331,0.026065,0.010718,0.000131,0,0.8919,0.003241,0.4551,0.016617,0.000079,0.000093,0.000007,0.000044,0.0326,0.008236,0.28977,0.00887,0.003772,0.017869,0.024715,0.595,0.23704,0.00156,0.03194,0.29029,0.000022,0.09687,0.011655,0.4835,0.07894,0.002931,0.012085,0.00549,0.7003,0.002881,0.25926,0.000052,0.006731,0.003841,0.003749,0.24475,0.687,
"Ki-6509",0.003267,0.08945,0.1129,0.8372,0.8557,0.9382,0.004759,0.006996,0.019526,0.9919,0.005108,0.4523,0.8945,0.9807,0.5574,0.005546,0.1124,0.9871,0.0044,0.029676,0.371,0.9965,0.000083,0.001711,0.000172,0.005902,0.002519,0.005001,0.006171,0.6424,0.6244,0.002723,0.003002,0.000677,0.000481,0.05578,0.0689,0.10311,0.2009,0.004081,0.010176,0.013952,0.005876,0.003003,0.003353,0.002042,0.002784,0.001996,0.002075,0.000816,0.007985,0.004972,0.000521,0.10807,0,0.003263,0.09223,0.006115,0.000669,0.000405,0.000393,0.000462,0.009033,0.004489,0.05856,0.004646,0.003515,0.006357,0.007558,0.23162,0.07795,0.002333,0.009268,0.05942,0.000317,0.021567,0.005245,0.10335,0.01793,0.003147,0.005366,0.003965,0.24925,0.003087,0.05261,0.000807,0.004197,0.003514,0.003509,0.058,0.3273,
"Poz-61732",0.4545,0.9918,0.9992,1,1,1,0.6786,0.7608,0.9086,0.9999,0.7078,0.9998,0.9999,1,0.9997,0.729,0.9975,1,0.6333,0.9036,0.9994,1,0.000218,0.15936,0.008467,0.6899,0.30277,0.655,0.7153,1,1,0.3717,0.3846,0.026561,0.008963,0.7842,0.8081,0.9955,0.933,0.6107,0.7149,0.7492,0.6087,0.4518,0.5093,0.26374,0.4307,0.23445,0.26867,0.05616,0.7056,0.6585,0.004238,0.9968,0.9967,0,0.9957,0.6944,0.011775,0.005941,0.002179,0.006278,0.7226,0.6149,0.9471,0.6035,0.5089,0.6569,0.473,0.9829,0.8036,0.29887,0.6992,0.9476,0.002152,0.8207,0.6421,0.9961,0.8004,0.4871,0.6774,0.5581,0.9989,0.471,0.9331,0.00397,0.5798,0.5263,0.5267,0.8691,0.9994,
"Ki-5434",0.00451,0.4722,0.5741,0.9984,0.9952,0.9991,0.007426,0.022833,0.0993,0.9987,0.010353,0.8388,0.9964,0.9997,0.8866,0.011241,0.5511,0.9992,0.006586,0.15521,0.7729,1,0,0.001261,0.000061,0.017803,0.002966,0.012487,0.021757,0.9863,0.9825,0.003355,0.003774,0.000186,0.000278,0.20914,0.24425,0.5277,0.5187,0.008079,0.04676,0.0677,0.018748,0.003785,0.005019,0.001921,0.003198,0.001603,0.001978,0.000441,0.03241,0.014391,0.000167,0.5449,0.9078,0.00433,0,0.02159,0.000113,0.000221,0.000021,0.000035,0.04008,0.011,0.3235,0.012021,0.005094,0.022343,0.028558,0.6275,0.2551,0.002213,0.03903,0.323,0.000009,0.11213,0.015017,0.5277,0.092,0.004068,0.01636,0.007204,0.736,0.003946,0.29041,0.000061,0.009161,0.005303,0.004972,0.26964,0.7162,
"Poz-58148",0.28366,0.9615,0.9884,0.9999,0.9999,0.9999,0.4235,0.529,0.7534,0.9997,0.461,0.9963,0.9997,1,0.9971,0.4795,0.9818,0.9999,0.3913,0.7613,0.9939,1,0.000124,0.10187,0.005136,0.4933,0.1846,0.4476,0.5264,0.9997,0.9997,0.22568,0.23514,0.016124,0.005497,0.6594,0.6922,0.9799,0.8822,0.3976,0.5358,0.5826,0.4129,0.27612,0.31612,0.16379,0.2589,0.14413,0.16284,0.03358,0.5176,0.4558,0.002586,0.9834,0.9939,0.30562,0.9784,0,0.006744,0.003961,0.001381,0.00346,0.5415,0.409,0.8839,0.401,0.31567,0.4594,0.3267,0.9621,0.6892,0.18202,0.5148,0.8844,0.001252,0.6813,0.4392,0.9805,0.6498,0.29766,0.4766,0.3547,0.9932,0.28675,0.8602,0.002347,0.3767,0.3255,0.3254,0.7726,0.9889,
"Poz-44433",0.9457,0.9998,1,1,1,1,0.9951,0.9961,0.9984,1,0.9954,1,1,1,1,0.9959,0.9999,1,0.9942,0.9982,1,1,0.08684,0.9751,0.18913,0.994,0.974,0.9934,0.9942,1,1,0.9792,0.9857,0.5309,0.3486,0.9945,0.9951,0.9998,0.9983,0.9922,0.9937,0.9946,0.9915,0.9828,0.9883,0.9701,0.987,0.9647,0.9464,0.5739,0.9936,0.993,0.3773,0.9999,0.9993,0.9882,0.9999,0.9933,0,0.17029,0.22588,0.4337,0.9939,0.9919,0.9986,0.9917,0.9878,0.9927,0.8945,0.9993,0.9945,0.9567,0.9935,0.9987,0.3459,0.9957,0.9924,0.9999,0.9955,0.9878,0.9931,0.9905,1,0.9865,0.9984,0.30214,0.9912,0.9894,0.9896,0.997,1,
"Poz-44431",0.9751,0.9998,0.9999,1,1,1,0.9965,0.9971,0.9986,1,0.9966,1,1,1,1,0.9969,0.9999,1,0.9959,0.9987,0.9999,1,0.29737,0.9894,0.5283,0.9962,0.9915,0.996,0.9966,1,1,0.9923,0.9928,0.8361,0.7072,0.997,0.9974,0.9999,0.9988,0.9953,0.9962,0.9968,0.9952,0.9932,0.9938,0.9903,0.9931,0.9898,0.9893,0.8471,0.9963,0.9958,0.7584,0.9999,0.9996,0.9941,0.9998,0.996,0.8297,0,0.6056,0.7875,0.9964,0.9954,0.999,0.9951,0.994,0.9957,0.9549,0.9995,0.9972,0.9902,0.9962,0.9991,0.7296,0.9976,0.9955,0.9999,0.9973,0.9938,0.9959,0.9946,0.9999,0.9935,0.9991,0.6744,0.9949,0.9942,0.9941,0.9982,0.9999,
"Poz-44430",0.9742,1,1,1,1,1,0.9992,0.9994,0.9997,1,0.9992,1,1,1,1,0.9993,1,1,0.9991,0.9998,1,1,0.21908,0.9959,0.4246,0.9989,0.9967,0.9989,0.9991,1,1,0.9972,0.9976,0.7857,0.6237,0.9988,0.9989,1,0.9996,0.9985,0.9988,0.999,0.9983,0.9971,0.9978,0.9958,0.9975,0.9954,0.9933,0.8026,0.9987,0.9987,0.6805,1,0.9996,0.9978,1,0.9986,0.7741,0.3944,0,0.7206,0.999,0.9984,0.9998,0.9984,0.9979,0.9986,0.9463,0.9999,0.9987,0.9943,0.9987,0.9997,0.6476,0.9992,0.9985,1,0.9992,0.9977,0.9985,0.9982,1,0.9974,0.9997,0.5826,0.9984,0.998,0.998,0.9993,1,
"Poz-44432",0.9561,0.9999,1,1,1,1,0.9976,0.9982,0.9993,1,0.9977,1,1,1,1,0.9981,1,1,0.9971,0.9992,1,1,0.11085,0.9866,0.23436,0.9971,0.9848,0.9966,0.9972,1,1,0.9877,0.9923,0.5943,0.4091,0.9969,0.9972,0.9999,0.999,0.9961,0.9968,0.9972,0.9953,0.9901,0.9933,0.9826,0.9929,0.9791,0.9649,0.6314,0.9967,0.9963,0.4455,1,0.9995,0.9937,1,0.9965,0.5663,0.21247,0.27945,0,0.997,0.9956,0.9993,0.9956,0.9934,0.9963,0.9092,0.9997,0.9968,0.9726,0.9965,0.9994,0.4127,0.9979,0.9958,1,0.9976,0.9933,0.9964,0.995,1,0.9924,0.9991,0.3608,0.9953,0.9943,0.9943,0.9984,1,
"Poz-44485",0.25766,0.9408,0.9741,0.9999,0.9997,0.9999,0.3828,0.4828,0.707,0.9996,0.4184,0.9912,0.9996,1,0.9931,0.4354,0.9657,0.9998,0.3546,0.7199,0.9864,1,0.000061,0.09235,0.00439,0.4505,0.16913,0.4074,0.4831,0.9992,0.9991,0.20517,0.21421,0.014479,0.00509,0.6279,0.6631,0.9634,0.8635,0.3615,0.4952,0.5421,0.3773,0.25088,0.28679,0.14841,0.23547,0.1314,0.14776,0.030735,0.4774,0.4164,0.002281,0.9674,0.991,0.27745,0.9599,0.4585,0.006126,0.003595,0.001026,0.003005,0,0.3726,0.8547,0.3649,0.28688,0.4217,0.30039,0.9484,0.6593,0.16454,0.4751,0.8551,0.000961,0.6406,0.4026,0.9635,0.6085,0.26988,0.4372,0.3234,0.9845,0.26062,0.8284,0.002078,0.3423,0.29528,0.2953,0.7424,0.9797,
"Poz-94493",0.3529,0.9793,0.9951,0.9999,0.9999,1,0.5342,0.6361,0.8358,0.9998,0.5712,0.9985,0.9998,1,0.9988,0.5925,0.9914,1,0.4947,0.8352,0.9974,1,0.000096,0.11717,0.0063,0.5858,0.22756,0.5433,0.6186,0.9998,0.9998,0.28152,0.28986,0.019417,0.006644,0.717,0.7478,0.9897,0.908,0.4914,0.6203,0.6633,0.4992,0.3469,0.3951,0.19874,0.3252,0.17546,0.20126,0.04176,0.6068,0.5489,0.002992,0.9918,0.9955,0.3851,0.989,0.591,0.008089,0.00462,0.001591,0.004361,0.6274,0,0.9189,0.4898,0.3944,0.5498,0.3895,0.9735,0.7424,0.22492,0.6001,0.9195,0.001388,0.7522,0.5317,0.9899,0.7255,0.3738,0.5702,0.4415,0.9966,0.3607,0.8997,0.002878,0.4641,0.4089,0.4077,0.82,0.9953,
"Poz-94503",0.05092,0.6445,0.7315,0.9992,0.9971,0.9995,0.07271,0.11717,0.25928,0.999,0.08582,0.9001,0.9978,0.9998,0.9295,0.09015,0.711,0.9994,0.06727,0.31047,0.859,1,0.000023,0.019381,0.000985,0.10854,0.0341,0.0906,0.12309,0.9918,0.9894,0.04012,0.04224,0.002967,0.001356,0.3244,0.3637,0.6968,0.634,0.07374,0.15037,0.18296,0.09143,0.04782,0.05554,0.029014,0.04468,0.026121,0.028247,0.006111,0.13113,0.0961,0.000723,0.7102,0.9414,0.05287,0.6765,0.11609,0.001415,0.000979,0.000245,0.000745,0.1453,0.08108,0,0.08072,0.05603,0.10601,0.08579,0.7473,0.3699,0.03182,0.13703,0.5013,0.000297,0.25262,0.09255,0.6978,0.22585,0.05091,0.10321,0.06574,0.8357,0.04934,0.4642,0.000419,0.07202,0.05713,0.05663,0.4149,0.8222,
"Poz-90808",0.3637,0.979,0.9946,1,1,1,0.5492,0.6472,0.8395,0.9998,0.5837,0.9983,0.9998,1,0.9986,0.6046,0.9907,1,0.5087,0.8381,0.9971,1,0.0001,0.12155,0.006481,0.5947,0.23648,0.5526,0.6254,0.9999,0.9998,0.29073,0.29969,0.020256,0.007052,0.7226,0.7519,0.9888,0.9096,0.5021,0.628,0.6696,0.5093,0.3569,0.406,0.20534,0.3358,0.18172,0.20849,0.0427,0.615,0.5589,0.003053,0.9911,0.9954,0.3965,0.988,0.599,0.008284,0.004937,0.001649,0.004369,0.6351,0.5102,0.9193,0,0.4063,0.558,0.397,0.9734,0.7471,0.23364,0.609,0.9195,0.001576,0.7562,0.5415,0.9894,0.7304,0.3855,0.5799,0.4535,0.9964,0.3717,0.9004,0.00296,0.475,0.4202,0.419,0.824,0.9951,
"Poz-90809",0.4485,0.9902,0.9986,1,1,1,0.664,0.7475,0.8999,0.9999,0.6945,0.9996,0.9999,1,0.9996,0.7148,0.9965,1,0.6197,0.896,0.9992,1,0.000202,0.16176,0.00849,0.6803,0.2987,0.6451,0.7054,1,0.9999,0.3666,0.3789,0.026707,0.009057,0.7779,0.8021,0.9948,0.931,0.6002,0.7056,0.7419,0.5993,0.4441,0.5005,0.2629,0.4237,0.23319,0.26683,0.05567,0.6957,0.6482,0.004303,0.9962,0.9965,0.4911,0.9949,0.6843,0.012183,0.006011,0.002147,0.006598,0.7131,0.6056,0.944,0.5937,0,0.6469,0.4665,0.9818,0.7971,0.29593,0.6908,0.9442,0.002328,0.8149,0.6326,0.9952,0.7925,0.4788,0.667,0.549,0.9985,0.4632,0.9294,0.003996,0.5695,0.517,0.5168,0.8643,0.9987,
"Poz-90810",0.3163,0.964,0.9867,1,0.9999,1,0.4768,0.5776,0.785,0.9997,0.5127,0.9957,0.9998,1,0.9966,0.5323,0.9813,0.9999,0.4401,0.7903,0.9931,1,0.000081,0.10786,0.005866,0.534,0.20551,0.4915,0.5661,0.9997,0.9996,0.25213,0.26059,0.017783,0.006073,0.6827,0.7141,0.9793,0.8906,0.4409,0.5715,0.6158,0.4525,0.30935,0.3534,0.17833,0.29025,0.15892,0.18122,0.03704,0.5567,0.4972,0.002805,0.9821,0.9936,0.3431,0.9777,0.5407,0.007264,0.00427,0.001426,0.003705,0.5783,0.4502,0.894,0.442,0.3531,0,0.3555,0.9631,0.7105,0.20269,0.5528,0.8941,0.001266,0.7083,0.4816,0.9798,0.6807,0.3338,0.5189,0.3955,0.9917,0.3219,0.8722,0.002623,0.4169,0.3653,0.3645,0.7901,0.9894,
"Gd-4117",0.4901,0.9637,0.979,0.9997,0.9996,0.9999,0.646,0.7142,0.849,0.9998,0.6709,0.9921,0.9996,1,0.9944,0.685,0.9752,0.9999,0.6153,0.8521,0.9885,1,0.018594,0.30151,0.05111,0.6701,0.3926,0.6408,0.6903,0.999,0.9988,0.44,0.4508,0.12199,0.07831,0.7689,0.791,0.973,0.9153,0.605,0.6947,0.7246,0.609,0.494,0.5334,0.3678,0.4807,0.345,0.3628,0.1495,0.6841,0.6441,0.08049,0.9753,0.9924,0.527,0.9714,0.6733,0.10546,0.04514,0.0537,0.09081,0.6996,0.6105,0.9142,0.6031,0.5335,0.6445,0,0.966,0.7886,0.385,0.6807,0.9145,0.07336,0.7884,0.6316,0.9732,0.7681,0.518,0.6592,0.5684,0.9865,0.5068,0.8994,0.06707,0.5851,0.546,0.5453,0.8434,0.9877,
"Ki-5595",0.016244,0.3557,0.4226,0.9388,0.9434,0.9764,0.024377,0.03976,0.10241,0.9961,0.028,0.7038,0.9587,0.9925,0.7712,0.029627,0.4083,0.9946,0.022462,0.13879,0.6352,0.9987,0.000054,0.00616,0.000297,0.03518,0.01089,0.0292,0.03938,0.8675,0.8599,0.013127,0.013836,0.000989,0.000589,0.17363,0.20102,0.3919,0.4209,0.023391,0.05578,0.07134,0.0322,0.015448,0.01806,0.009474,0.014482,0.008235,0.009046,0.002134,0.04591,0.031024,0.000399,0.405,0.7684,0.017149,0.3725,0.03788,0.000658,0.000463,0.000147,0.000291,0.05159,0.026542,0.25268,0.026641,0.018242,0.03688,0.03398,0,0.21036,0.01003,0.0498,0.25396,0.000199,0.10569,0.030284,0.3938,0.09105,0.016399,0.03336,0.021584,0.5721,0.016184,0.23071,0.000267,0.023654,0.018454,0.018259,0.21633,0.5938,
"Gd-6438",0.18233,0.7256,0.7752,0.9832,0.9842,0.9932,0.26962,0.3325,0.4808,0.9986,0.29091,0.8949,0.9882,0.9978,0.9201,0.30175,0.7636,0.9983,0.25062,0.5043,0.8647,0.9996,0.000154,0.06693,0.003654,0.30572,0.12108,0.27961,0.3256,0.9629,0.9599,0.14711,0.15245,0.011609,0.004256,0.4656,0.4982,0.7557,0.7058,0.25163,0.3392,0.3727,0.26249,0.17806,0.20267,0.10596,0.16833,0.09488,0.10627,0.023074,0.3252,0.28415,0.002338,0.763,0.9221,0.19644,0.7449,0.31082,0.005514,0.002843,0.001277,0.003152,0.3407,0.25758,0.6301,0.25293,0.2029,0.28948,0.21143,0.7896,0,0.11875,0.3248,0.6297,0.001402,0.4425,0.2758,0.7556,0.4184,0.19123,0.29687,0.22594,0.8438,0.1857,0.6053,0.002042,0.23867,0.20999,0.20875,0.5507,0.858,
"Poz-61733",0.6438,0.9962,0.9998,1,1,1,0.8375,0.8779,0.9532,0.9999,0.851,1,1,1,0.9999,0.864,0.9989,1,0.8064,0.951,0.9998,1,0.00134,0.406,0.015115,0.8168,0.5235,0.798,0.8299,1,1,0.5885,0.6117,0.07113,0.02553,0.8706,0.8853,0.9978,0.9603,0.7733,0.8317,0.852,0.7681,0.6561,0.7051,0.4853,0.654,0.4486,0.4619,0.11739,0.8262,0.7994,0.016624,0.9984,0.9977,0.7011,0.9978,0.818,0.04328,0.009779,0.005669,0.027432,0.8355,0.7751,0.9682,0.7664,0.7041,0.7973,0.615,0.99,0.8812,0,0.8229,0.9689,0.012116,0.893,0.79,0.9981,0.8802,0.6905,0.8094,0.7383,0.9996,0.677,0.9598,0.013183,0.7532,0.7198,0.7202,0.9226,1,
"Ki-6513",0.2783,0.9436,0.9739,0.9999,0.9997,0.9999,0.4154,0.5142,0.7295,0.9997,0.4509,0.991,0.9996,1,0.9934,0.4687,0.9664,0.9999,0.3853,0.7399,0.9863,1,0.00009,0.09734,0.005031,0.4784,0.18162,0.4345,0.5101,0.9993,0.999,0.22129,0.22935,0.015833,0.005435,0.6448,0.6773,0.9639,0.8701,0.3887,0.5192,0.5651,0.4032,0.27097,0.31017,0.15807,0.25533,0.14051,0.15881,0.0329,0.5033,0.443,0.002521,0.9681,0.9907,0.30083,0.961,0.4852,0.006472,0.003849,0.001286,0.003499,0.5249,0.3999,0.863,0.391,0.30925,0.4472,0.3193,0.9502,0.6752,0.17709,0,0.8633,0.001278,0.6604,0.4285,0.9642,0.6304,0.29035,0.4634,0.3483,0.9843,0.28137,0.8386,0.002335,0.3682,0.3194,0.3191,0.7553,0.9809,
"Poz-61734",0.05018,0.6425,0.7308,0.9992,0.9972,0.9996,0.07266,0.11659,0.26039,0.999,0.08602,0.8998,0.9978,0.9998,0.9298,0.09007,0.7097,0.9994,0.06718,0.3092,0.8573,1,0.00001,0.019201,0.000971,0.10788,0.03342,0.08991,0.12277,0.992,0.9895,0.03934,0.04213,0.002778,0.001238,0.3242,0.3627,0.6943,0.6331,0.07347,0.14967,0.18292,0.09127,0.04826,0.05586,0.029045,0.04475,0.026023,0.0281,0.005967,0.13149,0.09555,0.000517,0.7097,0.9406,0.05239,0.677,0.11562,0.001301,0.000871,0.000256,0.000633,0.14489,0.0805,0.4987,0.08053,0.05579,0.10592,0.08551,0.746,0.3703,0.031085,0.13667,0,0.000232,0.25372,0.09237,0.697,0.22529,0.05099,0.10339,0.06559,0.8352,0.04918,0.4632,0.000537,0.07237,0.05719,0.05669,0.4138,0.8228,
"Poz-58109",0.9655,1,1,1,1,1,0.9996,0.9996,0.9999,1,0.9995,1,1,1,1,0.9996,1,1,0.9994,0.9998,1,1,0.1444,0.9954,0.29412,0.9993,0.9952,0.9991,0.9993,1,1,0.9958,0.9979,0.6745,0.4876,0.9986,0.9988,1,0.9995,0.9987,0.9988,0.9991,0.9984,0.9959,0.9976,0.9936,0.9974,0.9924,0.9841,0.7042,0.9987,0.9989,0.5361,1,0.9997,0.9978,1,0.9987,0.6541,0.27043,0.3524,0.5873,0.999,0.9986,0.9997,0.9984,0.9977,0.9987,0.9266,0.9998,0.9986,0.9879,0.9987,0.9998,0,0.9993,0.9986,1,0.9992,0.9976,0.9987,0.9983,1,0.9971,0.9997,0.4408,0.9984,0.998,0.9981,0.9994,1,
"Poz-102997",0.16888,0.8589,0.9135,0.9998,0.9991,0.9998,0.24557,0.3309,0.5446,0.9994,0.27476,0.9695,0.9992,0.9999,0.9778,0.28575,0.8997,0.9997,0.22766,0.5718,0.9549,1,0.000059,0.0631,0.002972,0.31009,0.11164,0.27372,0.3381,0.9977,0.9969,0.13431,0.14004,0.009668,0.003425,0.5191,0.557,0.896,0.7928,0.23683,0.359,0.4041,0.25833,0.16213,0.18624,0.09809,0.15312,0.08685,0.09621,0.020194,0.3394,0.2824,0.001622,0.9031,0.9784,0.17934,0.8879,0.3187,0.004256,0.002428,0.000781,0.002064,0.3594,0.24776,0.7474,0.24385,0.18505,0.2917,0.2116,0.8943,0.5575,0.10702,0.3396,0.7463,0.000744,0,0.27139,0.8956,0.4668,0.17385,0.29841,0.21208,0.9487,0.1688,0.7152,0.001408,0.22621,0.19129,0.19056,0.6329,0.9412,
"Poz-102996",0.3291,0.9731,0.9926,1,0.9999,1,0.4959,0.5993,0.8081,0.9998,0.5335,0.9979,0.9998,1,0.9981,0.5537,0.9879,0.9999,0.4588,0.8097,0.9961,1,0.000149,0.11157,0.006002,0.5549,0.21364,0.5092,0.5871,0.9999,0.9998,0.26139,0.27015,0.018318,0.006238,0.6968,0.7277,0.9859,0.8995,0.4591,0.5906,0.635,0.4701,0.3215,0.368,0.18602,0.30127,0.16412,0.18819,0.03849,0.5771,0.5167,0.002974,0.9883,0.9948,0.3579,0.985,0.5608,0.007625,0.004544,0.00154,0.004157,0.5974,0.4683,0.9075,0.4585,0.3674,0.5184,0.3684,0.9697,0.7242,0.21,0.5715,0.9076,0.001416,0.7286,0,0.9864,0.7003,0.3475,0.5389,0.4109,0.9954,0.3349,0.8863,0.002573,0.4338,0.3806,0.3792,0.8038,0.9931,
"Poz-111913",0.004132,0.4457,0.5442,0.9954,0.9925,0.998,0.006905,0.020653,0.09135,0.9986,0.009474,0.8213,0.9945,0.9993,0.8741,0.010154,0.522,0.9989,0.006091,0.14494,0.7517,0.9999,0,0.001158,0.000057,0.016014,0.002919,0.011532,0.019387,0.98,0.9751,0.003406,0.003556,0.000192,0.00024,0.19871,0.23367,0.5004,0.5009,0.007164,0.04249,0.06244,0.017347,0.003618,0.004761,0.001843,0.003146,0.001687,0.001963,0.000411,0.029212,0.01321,0.000136,0.5165,0.8966,0.003928,0.4723,0.01946,0.000147,0.00011,0.000002,0.000039,0.03653,0.010097,0.30223,0.010617,0.004834,0.020232,0.026847,0.6062,0.24443,0.001949,0.03583,0.30303,0.000021,0.10444,0.013617,0,0.08538,0.003736,0.014612,0.006677,0.7123,0.003925,0.27174,0.000038,0.008322,0.004792,0.004821,0.25498,0.6973,
"Poz-130232",0.18789,0.8811,0.9312,0.9998,0.9994,0.9998,0.27414,0.3633,0.5817,0.9995,0.30537,0.9756,0.9993,1,0.9824,0.3179,0.918,0.9998,0.25456,0.606,0.9642,1,0.000066,0.06869,0.00331,0.3414,0.12383,0.30267,0.371,0.998,0.9975,0.14974,0.15657,0.010928,0.003915,0.5438,0.582,0.9151,0.8109,0.26349,0.3903,0.4349,0.28427,0.18084,0.20728,0.10834,0.17085,0.09672,0.10707,0.022234,0.3704,0.31132,0.001835,0.9211,0.9821,0.19957,0.908,0.3502,0.004486,0.002704,0.000798,0.002393,0.3915,0.27455,0.7741,0.26957,0.20745,0.3193,0.23191,0.9089,0.5816,0.11978,0.3697,0.7747,0.000794,0.5332,0.29971,0.9146,0,0.19343,0.329,0.23552,0.959,0.18775,0.743,0.001534,0.25089,0.21334,0.21338,0.6599,0.9523,
"Poz-111914",0.4666,0.9924,0.9993,1,1,1,0.6911,0.7698,0.9122,0.9999,0.7199,0.9998,0.9999,1,0.9997,0.7405,0.9978,1,0.6463,0.9078,0.9996,1,0.000241,0.16906,0.008955,0.6998,0.31479,0.6654,0.7239,1,1,0.3843,0.3956,0.028071,0.009635,0.7903,0.813,0.9958,0.9355,0.6217,0.7224,0.7573,0.6198,0.4645,0.5218,0.27544,0.4434,0.2446,0.27812,0.05803,0.7138,0.6687,0.004383,0.9971,0.9969,0.5129,0.9959,0.7023,0.012189,0.00621,0.002329,0.006707,0.7301,0.6262,0.9491,0.6145,0.5212,0.6662,0.482,0.9836,0.8088,0.30955,0.7097,0.949,0.002408,0.8262,0.6525,0.9963,0.8066,0,0.6876,0.5698,0.9989,0.4839,0.9356,0.004277,0.5915,0.5395,0.5381,0.8728,0.9995,
"OxA-23437",0.29859,0.969,0.9925,1,0.9999,1,0.4465,0.554,0.7776,0.9997,0.4854,0.9979,0.9998,1,0.9981,0.5041,0.9867,0.9999,0.4123,0.7829,0.9961,1,0.000077,0.10672,0.005317,0.5156,0.195,0.4685,0.55,0.9998,0.9998,0.23755,0.24667,0.01684,0.005997,0.6741,0.7073,0.9851,0.8906,0.4177,0.5563,0.6029,0.4331,0.29077,0.3328,0.17109,0.27296,0.15104,0.17136,0.03517,0.5409,0.4775,0.002763,0.9879,0.9946,0.3226,0.9836,0.5234,0.006926,0.004122,0.001485,0.00365,0.5628,0.4298,0.8968,0.4201,0.333,0.4811,0.3408,0.9666,0.7031,0.19057,0.5366,0.8966,0.001299,0.7016,0.4611,0.9854,0.671,0.31242,0,0.3737,0.9953,0.30289,0.8733,0.002516,0.3955,0.3435,0.3421,0.7869,0.9914,
